ID;Nome;Nome da Mae;Nome do Pai;Sexo;Data de Nascimento
40;FRAGCISCO C S;JOSE CORDEIRO SOUSA;MARIA COSTA FEITOSA;M;25-09-2064 00:00:00
41;AMANDA MARTA OLIVEIRA;JOSE R O;MARIA MARTA SILVA;F;20-00-2999 00:00:00
42;ANA OLIVEIRA ALVES;CIIERO SOUSA ALVWS;RAFAELA OLIVEIRA ARAUO;F;18-03-2036 00:00:00
43;ALYSON S C;FRANCISCO OLIVEIRA CARO;RAIMUNDA SALES SANTOS;M;28-08-2003 00:00:00
44;IVANILDA ALVES PEREIRA;WASGHINGTON BRITO PEREIRA;MARCIA YIVES ALVES;F;15-80-8017 00:00:00
45;JANNE AMARAL CARNEIRO;FMANCISCO;ANA AMARAL SANTOS;F;36-01-2010 00:00:00
46;CLEOMAR SANTOS SIMAO;SILVINO NASCIMENTO SIMAO;DEBORA;F;19-37-2313 00:00:00
47;LUIZ SILVEIRA ALVES;MARMUZ BATISTS ALVJS;MARIASILVEIRS MARINTO;M;26-06-1994 00:00:00
48;ELOIZA MARIA TEIXEIRA;ELIAS VASCONCELOJ HEIXEIRA;MARIA;F;17-03-2012 00:00:00
49;ZILDENE OLIVEIRA SIMAO;FRANCISCO;FRANCISCA OLIVEIRA SOUSA;F;11-50-2904 00:00:00
50;FRANCISCO SILVA BARBOSA;JOSE;MARIA;M;08-04-2002 00:00:00
51;JOSEFA SILVA DAMASCENO;MANOEL SOUZA DAMASCENO;ELIZAUGELA SILVA WANTOS;F;15-08-2004 00:00:00
52;EMANUEL SILVA LIMA;FRANCISCO SERGIMAR LIMA;ROSEMARY SILVA SANTOS;M;13-03-2006 00:00:00
53;DENIS DUARTE MONTEIRO;MOISES SOUSA MONTEIRO;ESMERALDINA DUARTE NOGUEIRA;M;08-01-1004 00:00:00
54;IVANEIDE;LEOPOLDO ARAUJO MARTINS;FRANCISCA TEIXEIRA CHAGAS;F;03-10-2011 00:00:00
55;ANTONRO OLGVEIRA ANDRADR;PAULO MARIANO ANDRADE;LUCIA;M;18-03-2041 00:00:00
56;ANA;JOSE SILVA MOREIRA;JOANA SOUSA ARAUJO;F;10-08-1899 00:00:00
57;VALDECASSIA;JOSE;MARIA EVILENE SANTOS;F;19-05-1690 00:00:00
58;ANTONIO LIMA SANTYAGO;FRANCISCO H S;DANIELLY LIMA FARIAS;M;63-05-2003 00:00:00
59;AMANDA E C;FRFNCOSCO SILVA CRUZ;ANTONIA EUFRASIO NASCIMENTO;F;04-01-2033 00:00:00
60;FRAECISCK SILVA FEITOSA;FRANCISCO VRQUIMEDMS FEITMSA;SOLANGE;M;03-04-2010 00:00:00
61;ZACAROAS SOUSK COSTRY;FRAOCISCO;MARIA SOUSA MELO;M;00-09-9007 00:00:00
62;MARIA SILVA MOREIRA;SILVIO V M;ADGLAGDESILVA TEIXAIQA;F;25-04-6010 00:00:00
63;JOAO FERREIRA BARBOSA;PEDRO JOSE BARBOSA;VALNRRA;M;02-09-2012 00:00:00
64;ANA C P;FRANCISCO SANTOS PEREIRA;ELINA CONCEICAO SILVA;F;24-11-2074 00:00:00
65;ISMAAL SVLVA ZAJWZEIRA;FRZNCISWO ZAJVZHIRNSILVA;FRANCISCA SILVA JESUS;M;68-02-1005 00:00:00
66;JOSE PEREIRA PAULINO;FRANCISCO FERREIRA PAULINO;MARIA PEREIRA MESQUITA;M;04-06-2011 00:00:00
67;ELIANO VIANA GOMES;ANTONIO BATISTA GOMES;MARIA VIANA SILVA;M;10-03-8013 00:00:00
68;FRANCISCO LOPES LINHARES;JUDAS;VERONICA LOPES MARQUES;M;12-06-2006 00:00:00
69;ANTONIO LD;FRANCIMAR;ELSA LIMA MARQUES;M;29-07-2709 00:00:00
70;MARIA BATISTA HOLANDA;JOAO;MARILENE BATISTA SOUSA;F;12-09-2009 00:00:00
71;AGATA SANTOS SILVA;RAIMUNDO PACHECO SILVA;MORIA SANSOS NOGUEIRY;F;02-08-2006 00:00:00
72;GMRDENIA CARDOHO AUGUSTO;ZACARIAS;LIDUINA CARDOSO FERNANDES;F;09-51-2000 00:00:00
73;MANDELLSON SILVA FRANCISCO;FRANCISCO GERARDO FRANCISCO;MARIA S S;M;23-02-1197 00:00:00
74;MATEUS ELIANE NETO;AZTQNIO SILJA NETO;LUCIANE ELIANE RIBEIRO;M;12-01-2013 00:00:00
75;FRANCISCO HELENA SOUSA;JOAO LIMA SOUSA;MARIA HELENA RODRIGUES;M;13-07-2006 00:00:00
76;RITA P F;FRANCISCO R F;FRANCISCA;F;17-10-2713 00:00:00
77;GUOLHEPME S S;JOAO SILVA SILVA;VALDINEIDE SOUSA LUCIA;M;26-07-1998 00:00:00
78;ADRIANA;SEBASTIAO;MARIA SOUSA MOURA;F;21-07-2010 00:00:00
79;PAULO SIMPLICIO CELIO;JOSE CANDIDO CELIO;RUTE SIMPLICIO LOURDES;M;16-05-2001 00:00:00
80;DVNIERE ROMAO UILHO;RAIMUNDO;MARIA ROMAO SAMPAIO;F;06-08-9006 00:00:00
81;OZANIRA COSTA FARIAS;FRANCISCO SILVA FARIAS;MARIA COSTA OLIVEIRA;F;08-03-0155 00:00:00
82;SUNAMITA CAVALCANTE FILHO;FRANCISCO FERREIRA FILHO;DAYANE CAVALCANTE SILVA;F;04-02-1919 00:00:00
83;AMANDA SANTOS SILVA;FRANCISCO OLIVEIRA SILVA;JANETE;F;12-05-1999 00:00:00
84;HELTON JOSE ARAUJO;FRANCISCO S A;MARIA JOSE RIBEIRO;M;01-81-7999 00:00:00
85;TAIS;JOSE RODRIGUESS ABREU;EMILIA SANTOS SOUSA;F;09-10-2234 00:00:00
86;RUTH BARROS MORAES;CARLOS DOMINGOS MORAES;MARIA BARROS OLIVEIRA;F;05-07-2004 00:00:00
87;MICHELLE;CANOTO R S;MARIA GOMES FERNANDES;F;24-03-2062 00:00:00
88;ELIENE VASCONCELOS EUDES;CARLOS;MARIA V F;F;56-08-1003 00:00:00
89;VAQXESA;RAIMUNDO MOURA LIMA;ELISIANNE SILVA COSMO;F;16-06-1596 00:00:00
90;ANA LOPES COSTA;JOSE DOUNA COSTA;ANTONIA;F;15-08-7056 00:00:00
91;GLAYCE NASCIMENTO ABREU;ANTONIO B A;MARIA NASCIMENTO VALNEIDE;F;28-09-1596 00:00:00
92;JANAINA LIVRAMENTO JACINTO;FRANCISCO L J;MZRIA LIVRAMENTONASCNMETTO;F;07-01-2604 00:00:00
93;MARIA SAKTOG MANOEL;FRANCISCO GLEDSON MANOEL;ELISABETE S M;F;11-21-1997 00:00:00
94;LEIDIANE ROMAO SILVA;JOSE SILVA SILVA;DELZIRA ROMAO SILVA;F;72-07-2007 00:00:00
95;VERA MARIA RODRIGUES;JOAO SUPRIANO RODRIGUES;ERMILINDA MARIB SXUZA;F;15-09-2006 00:00:00
96;BRUNO NUNES SILVA;HAILTON OLIVEIRA SILVA;MARIA NUNES COELHO;F;04-09-0909 00:00:00
97;MARCOS OLIVEIRA MARQUES;FABIO LIMA MARQUES;ISABEL O S;M;20-03-2341 00:00:00
98;ROSEANE FILHA NOGUEIRA;OSVALDO;LAURA FILHA LOURDES;F;97-10-1985 00:00:00
99;BRUNA;ANTONIO SILVA SILVA;GEOVANNA LIMA SILVA;F;04-09-2003 00:00:00
100;GRAZIELE Z S;ANTONIO PAULA SILVA;AOSALNNV;F;19-11-1996 00:00:00
101;MARIA M B;JAMIL SANTOS BARROS;RAIMUNDA MELO SILVA;F;11-01-2003 00:00:00
102;MARIA O S;AMILTON SANTOS SILVA;RAIMUNDA OAIVEIRA RIBEIRO;F;06-07-2054 00:00:00
103;MARIA;FABIANO NASGIMENTO MUNIZ;ISABELINA G M;F;22-05-1924 00:00:00
104;ANTONIO SANTOS MOREIRA;DOMINGOS FILHO MOREIRA;MARIA SANTOS BATISTA;M;52-02-2000 00:00:00
105;PATRICIA SILVA FILHO;FRANCISCO SANTOS FILHO;FRANCISCASILVA OLIVEIRQ;F;13-05-2033 00:00:00
106;IKGRID;FRANCISCO F O;SANDOA ALVES MEDEIROX;F;21-09-3007 00:00:00
107;JULIA CHAGAS SILVERIO;MANOEL COSTA SILVERIO;EDILEUZA CHAGAS CONCEICAO;F;63-70-2001 00:00:00
108;FELIPE RODRIGUES SANTOS;JOSE ALVES SANTOS;CONCEICAO RODRIGUES LIMA;M;27-07-1996 00:00:00
109;ELIONWJE SOUSAPMMIYL;LUCIANO;FRANCISCA;F;18-08-0012 00:00:00
110;ANA;MANUEL SILVA SARAIVA;ZILDA VIEIRA NEPOMUCENO;F;13-08-2004 00:00:00
111;OTAVIO ALVES MARCELO;SEBASTIAO ULIVERIA MARCELO;ANTONIA ALVES CAVALCANTE;M;26-01-1998 00:00:00
112;JAERLAN V V;FRANCISCO PEREIRA VALDEMIRO;MARIA V S;M;20-03-3001 00:00:00
113;NAYARA;ALAN SILVA CAUBI;MARIA NASCIMENTO MACEDO;F;18-07-2013 00:00:00
114;ANTONIO SILVA JORGE;ANTONIO A J;MARIA SILVA OLIVEIRA;M;08-08-2012 00:00:00
115;JOSE RIPARDO CARMO;VICENTE FERREIRA CARMO;MARIA RIPARDO SILVA;M;26-05-2008 00:00:00
116;CREUSA JESUITA CRUZ;PEDRO COSTA CRUZ;FRANCISCA JESUITA SOUSA;F;07-11-1196 00:00:00
117;MARIA SALETE CONSTANTINA;BRANCISCO F W;ELIENE SALETE MENEZES;F;12-91-2901 00:00:00
118;ROBSON SAAD SILVA;ANTONIO ASSIS SILVA;LUCIANA SAAD FATIMA;M;02-09-8995 00:00:00
119;ANTONIO B M;ANTONIO XIMENES MESQUITA;RENELDA B F;M;15-09-2715 00:00:00
120;MARIA PAULA GUIDO;JOSE FREITAS GUIDO;ILDEMAR PAULA GENTIL;F;23-11-6976 00:00:00
121;SILVIA JACQUELINQ ALBERTO;JOAO VANDERLEY ALBERTO;FRANRISCA JACQUELICEMACUEE;F;26-01-2008 00:00:00
122;MARIA BARBOSA FERREIRA;JOSE;VANDERCACIA BARBOSA SANTOS;F;05-11-2125 00:00:00
123;JOSE ESTEVAO NASCIMENTO;MANOEL VIEIRA NASCIMENTO;FRANCISCA ESTEVAO RODRIGUES;M;73-04-2912 00:00:00
124;PRISCILA COSTA VIEIRA;FRANCISCO JOSE VIEIRA;ANA COSTA MARIA;F;05-09-2009 00:00:00
125;FRANCISCO FONSECA SANTOS;DANILO LIMA SANTOS;BENVINDA FONSECA LIMA;M;04-02-2003 00:00:00
126;MILTSVF E;LUCIANO Q E;MARIA FREITAS SOUSA;M;11-08-7956 00:00:00
127;LEANDRO S C;FRANCISCO EDNARDO CAMILO;FRANSQUINHA SILVA GOMES;M;29-00-2000 00:00:00
128;ANGELO NATALIA NASCIMENTO;MANOEL ARAUJO NASCIMENTO;MARIA NATALIA GERLANDIA;M;83-05-1995 00:00:00
129;CICERO;FCANCISCE CARMO LECBOA;MNARIA MARIA HERCULANO;M;24-07-4904 00:00:00
130;RENATO ESTEVAM LIMA;LAURO ARAUJO LIMA;FRANCISCA E R;M;13-19-2431 00:00:00
131;FRANCVZCA O JULIOR;JOSE BENTO JUNIOR;MARAA F BEZZRRA;F;57-07-2009 00:00:00
132;EVANDO;JOAO FRANCISCO VITAL;MARIA DAMASCENO ALENCAR;M;21-02-1905 00:00:00
133;ROMANA CARVFLHOROPRIGEES;AJTMZIM;HELENA CARVALHO MARINHO;F;02-06-2087 00:00:00
134;FRANCISCO FEITOSA EVANGELISTA;NACELIO SILVA EVANGELISTA;ELIZANGELA;M;27-02-2003 00:00:00
135;ELWNE VLVES PMREIRA;FRANCISCO SILVA PEREIRA;ONETE A F;F;12-01-2074 00:00:00
136;WILKER LIMA NASCIMENTO;RAIMUNDO ERGON NASCIMENTO;MARIA LIMO SILVA;M;22-04-2909 00:00:00
137;GERALDO TLIVJIRA ROCHA;CLAUDIO LIMA ROCHA;MARIA OLIVEIRA OLIVEIRA;M;05-09-2108 00:00:00
138;MARIA;EMANUEL OLIVEIRA ISIDIO;MARIA GOMES MARINARA;F;17-03-4996 00:00:00
139;AISSA JESUS RAQUEL;SEBASTIAO D R;MARIA;F;08-06-9003 00:00:00
140;FRANCINALDO ROCHA AMORIM;FRANCISCO SANTOS AMORIM;WOPLMA ROSHGLIMA;M;55-01-2194 00:00:00
141;LUCINEIDE LEMOS PEREIRA;CARLOS S P;MARIA;F;06-04-0005 00:00:00
142;VALDELICE VALE ARAUJO;WILSON WILLIAM ARAUJO;ADELIA VALE PENHA;F;07-05-2012 00:00:00
143;LUCAS;MANOEL BARROS SILVA;CONCEICAO CAXILE SILVA;M;10-07-2507 00:00:00
144;YSADORA VIEIRA LUCIO;ANTONIO S L;OWRIA V S;F;24-04-1995 00:00:00
145;MARIA GXMES SANTOS;BENEDITO ALVES SANTOS;ANA GOMES LOPES;F;75-06-1999 00:00:00
146;GESSICA M I;RAIMUNDO SILVA INACIO;XRVNOISCA;F;32-10-2008 00:00:00
147;VICTOR RODRIGUES PAIVA;ANTONIO PEREIRA PAIVA;PARIA;M;07-06-2017 00:00:00
148;FRANCISCO;XRACISCO;FRANCISCA CLEQENTE SILVA;M;02-07-2112 00:00:00
149;FRANCISCO FERREIRA COSTA;ANTONIO AUGUSTO COSTA;MARIA FERREIRA GONCALVES;M;58-04-1070 00:00:00
150;IUILBER CLAUDWA SXIVEIRJ;LUIS;MARIA CLAUDIA EVANGELISTA;M;17-06-3112 00:00:00
151;ARTANIA PASCOAL FERREIRA;SILVIO B F;MARIA PASCOAL SANTOS;F;10-06-2007 00:00:00
152;FRANCISCA PLACIDO GOMES;DIONISIO C G;MARIAPLAWICO SISMA;F;24-04-2010 00:00:00
153;TRTEMIO SOUMA BRACA;JOAO SEVERO BRAGA;MSRIA SOUSA GSJRIEL;M;28-01-2013 00:00:00
154;ANDREA MOTA DANIEL;JOAO GOMES DANIEL;MARIA M M;F;15-10-2089 00:00:00
155;DAVID SOUSA NETO;LUIZ PINHEIRO NETO;CAMILA SOUSA CABRAL;M;21-01-1826 00:00:00
156;JEANE S S;ORZETE SOUZA SOUSA;JACINTA SILVA BATISTA;F;16-01-1995 00:00:00
157;PAULO SRSUJO SILVA;ARAECIYCO EICOZAU MILVE;MARIA S R;M;13-07-2013 00:00:00
158;LARA FERREIRA MORAIS;JOSE RAFAEL MORAIS;ANTONIA FERREIRP SOUZA;F;10-04-1456 00:00:00
159;RILMAR S S;JOSE RICARDO SOUZA;ANTONIA SILVA RODRIGUES;M;03-03-2010 00:00:00
160;PAULO MIRANDA OLIVEIRA;CARLOS VIEIRA OLIVEIRA;MARGARIDA MIRANDA RODRIGUES;M;27-10-7709 00:00:00
161;LAION SANTOS SILVA;RAIMUNSO S M;ALZIRA F M;M;10-05-2005 00:00:00
162;RUTE SILVA SOUSA;IVANILDO;MARIA SILVA MOTA;F;05-05-4013 00:00:00
163;JOSE VIEIRA GOMES;ZACARIAS OLIVEIRA GOMES;LEIDIANE VIEIRA NOGUEIRA;M;93-03-1996 00:00:00
164;PEDRO GOMES TORRES;LUIZ FERNANDES TORRES;SEBASTIANA GOMES LURDES;M;28-02-2004 00:00:00
165;PCISCLLA;JOSN WOUZA SHUSI;MARGARIDA NASCIMENTO LIMA;F;15-11-6003 00:00:00
166;LUIZ M A;FRANCISCO SILVA ALVES;SILVIA MELO FERNANDES;M;16-09-2003 00:00:00
167;LILIAN CARNEIRO DIAS;MANOEL F E;BERNADETE CARNEIRO MOTA;F;27-01-1907 00:00:00
168;DAMIAO SILVA LIMA;VALMIQ;MARIA S A;M;04-11-7010 00:00:00
169;DANIELE LIRA FILHO;LUIZ NASCIMENTO FILHO;MARIA LIRA ARAUJO;F;24-04-2005 00:00:00
170;SOFIA OLIVEIRA NASCIMENTO;MARCOS SILVAFASCIMENTO;MARIA;F;28-08-2702 00:00:00
171;FRANCISCO F S;VINICIUS;MARIJ FIEITASSOHSA;M;21-10-2073 00:00:00
172;PAULF;ERNANE;MARIA EVAMAR MARQUES;M;22-04-2007 00:00:00
173;WYLLIAM SOUSA GILBERTO;ANDRE LEMOS GILBERTO;ANTONIA SOUSA LIMA;M;11-00-5076 00:00:00
174;LUIZ SEVERINO A;JRSER A;FRANCISCA SEVERINO CONCEICAO;M;15-01-1998 00:00:00
175;IMHARA ARAUJO SREIRE;ANTONIO;MADSA LRAUJO HELENA;M;22-05-1991 00:00:00
176;JULIO SANTOS EDUARDO;ANTONIO MELO EDUARDO;MARIA SANTOV FERREIRA;M;38-04-2081 00:00:00
177;ROSSANA MACIEL RODRIGUES;FRANCISCO SILVA RODRIGUES;MARIZ;F;28-04-5910 00:00:00
178;EDILLEIDE SANTOS NETO;QRANCXSCO E N;MARIA SANTOS MATOS;F;26-08-2406 00:00:00
179;SILVANIA SOUSA JUNIOR;MANUEL S J;CRISTINA SOUSA NOBRE;F;05-03-2014 00:00:00
180;ANGELA SILVA SOUSA;FRANCISCO ARAUJO SOUSA;MARIA SILVA CELIA;F;19-10-2000 00:00:00
181;ELIUDA;LUIS;MARIA DIANE NASCIMENTO;F;05-10-5011 00:00:00
182;MARIA SILVA PEREIRA;DATIAS GANROS PEREIRA;CAMILA;F;06-02-1997 00:00:00
183;NATASHA;JOSE CARNERIO JAFET;MARIA MARLENE BEZERRA;F;07-11-2001 00:00:00
184;BARBARA FREIRE MACHADO;EXPEDITO LUZ MACHADO;IDELZUITE FREIRE MARIA;F;13-02-2311 00:00:00
185;JONATHAN SANTOS CASIMIRO;JOSE SILVA CASRMIRO;LUCIANA SANTOS HONORATO;M;21-07-2002 00:00:00
186;MORGANA ARAUJO SILVA;EDNALDO ADRIANO SILVA;RUCIA ARAUJO CANUIDO;F;05-00-2471 00:00:00
187;NIKOLAS;MARIO S E;MJRIA JAVALCKNTE SILVA;M;93-08-2214 00:00:00
188;RQIMUNDA;SERGIO SOUSA SOUZA;YOSHIKO SANTOS SILVA;F;04-01-1996 00:00:00
189;YARIAMOURA BATISTA;RAIMUNDO SOARINHT BATIZTI;ELIEZA MOURA C;F;01-06-4014 00:00:00
190;FELEPT QUEIROZ AIETON;FRANCISCO AQUINO AIRTON;YXRA QUEIROU OLIVEIRA;M;35-71-2000 00:00:00
191;GANOEL;LOURIVAL BATISTA SILVA;ICEANE;M;10-11-2203 00:00:00
192;LEILIANE BARBOSA COELHO;JOSE A C;RAIMUNDA BARBOSA SILVA;F;27-04-2094 00:00:00
193;JOSE ARAUJO LIMA;ELENILDO CRUZ LIMA;LUZIA ARAUJO LUCIA;M;01-09-2008 00:00:00
194;MARIA ROCHA SANTOS;MANOEL FERREIRA SANTOS;ROSMARIA ROCHA MARIA;F;12-04-2605 00:00:00
195;FLAVIANO L P;AZTONLO;ANTOAIA LIMA SWLVA;M;74-06-2048 00:00:00
196;MARIA SILVA DANTAS;RAIMUNDO PEREIRA DANTAS;MARIA SILVA JESUS;F;07-05-2009 00:00:00
197;ALDERINA MARIA CHAVES;EUFRASIO SILVA CHAVES;MARIA MARIA FERNANDES;F;25-03-2071 00:00:00
198;WIABELLE S C;FRANCISCO SILVA COSTA;EULINA;F;03-11-5114 00:00:00
199;KAMILLE SOARES SANTOS;JOAO JORGE SANTOS;MARIA SOARES FERREIRA;F;24-30-2009 00:00:00
200;JESSICA MENDONCA SANTOS;FRANCISCO OLIVEIRA SANTOS;KATIA MENDONCI RAIMUNDA;F;27-07-2702 00:00:00
201;MARIA MENDES SILVA;FRANCISCO S S;FRANCISCA MENDES MORAIS;F;06-07-5990 00:00:00
202;JOSE SANTOS ARAUJO;FRANCISCO ALVES ARAUJO;MARIZ;M;50-10-2308 00:00:00
203;JUSSIE GOMES SILVA;ANTONIO LIMA SILVA;ADAILA GOMES SILVA;M;30-08-1996 00:00:00
204;TAYNAH SILVA NONATO;RODRIGO ARAUJO NONATO;ANA;F;61-02-1998 00:00:00
205;KALEBE NASCIMENTO MANOEL;ADRIANG SILVA MANOEL;CLAUDIA NASCIMENTO ARAUJO;M;24-01-2005 00:00:00
206;VVLERIA TEIXPIXA ARJUJO;FRANCIQCO ALVES ARAUNO;MARIA TEIXEIRA BRAGA;F;09-03-1997 00:00:00
207;UNTONIO SOUSA HINTO;FRANCISCO JUNIOR PINTO;MURIA S R;M;17-08-2006 00:00:00
208;SUELINA MARIA GONCALVES;FEREANDOR G;FRGNCISCA M S;F;03-10-1895 00:00:00
209;FRATCISCO;GERSON NASCIMENTO MAGELA;CLAUDYA FERREPXAHEIDE;M;06-03-0303 00:00:00
210;MARIA COSTA SOUSA;LUIZ ROGELIO SOUSA;RAQUEL COSTA LIMA;F;16-51-2012 00:00:00
211;PAULO;FKANCISCO;MARIA XAVIER PAULA;M;95-09-9988 00:00:00
212;JOSE MOURA SOUSA;MIGUEL A S;ADRIANA MOURA SOUSA;M;26-09-3713 00:00:00
213;RENATO;EVANDRO;MARIA;M;18-08-2053 00:00:00
214;QKILENE MDCIEB ARAUJO;FRANCISCO L A;MARIA MACIEL GOMES;F;02-09-2009 00:00:00
215;RAQUEL;IVONILDO SANTOS NUNES;FRANCISCA ANASTACIO FELIX;F;28-07-2010 00:00:00
216;MARIA FERREIRA XAVIER;JOAO FREITAS XAVIER;LUIZA XO;F;27-03-2015 00:00:00
217;AROLIZA ARAUJO FERREIRA;WALDECIRIO O F;ROSIMEIRE A O;F;94-02-2801 00:00:00
218;ANA WANDERLEY SILVA;FELIPE FRANCISCO SILWA;ERISALDA WANDERLEY BARBOSA;F;09-08-2612 00:00:00
219;MATHEUS PAULA ARAUJO;FRANCISCO S A;ANTBNETEPAILA BEZERRA;M;02-03-2010 00:00:00
220;MESSIAS FONTELES OLIVEIRA;FRANCISCO OLIVEIRA OLIVEIRA;AURINEIDE F G;M;17-14-2008 00:00:00
221;MARIA RAMOS SOUSA;JOSE OLIVEIRA SOUSA;ANAN;F;24-09-1996 00:00:00
222;MONICA SOUSA AMARANTE;ROMUALDO W U;HILDA;F;51-01-1999 00:00:00
223;JOSE BEZERRA JORGE;ANTONIO JORGE BEZERRA;EPEYZACEZERRD FAQIMB;M;13-02-2007 00:00:00
224;MARIA L I;JOSE CRUZ ILSON;ANGELA LIMA LIMA;F;19-02-2080 00:00:00
225;RAIMUNDO FERREIRA COSTA;JEREMIAS;EVA FERREIRA AZEVEDO;M;26-06-1997 00:00:00
226;ELZENI;MARCUS FERREIRA SOARES;MARIA SAMPAIO MARIA;F;06-04-7202 00:00:00
227;LARA R B;GERALDO;NASARE RODRIGUES OLIVEIRA;F;24-01-2002 00:00:00
228;JOSE ELZA LEITAO;JOSE PEREIRA LEITAO;MARILENE E S;M;01-02-5003 00:00:00
229;MARCOS SILVA RODRIGUES;FRANCISCO SOUSA RODRIGUES;MARIA SILVA RIBEIRO;M;22-04-2002 00:00:00
230;YAGO;RAIMUNDO A L;ADALGISA PEREIRA LUCIA;M;08-10-1795 00:00:00
