ID;Nome;Nome da Mae;Nome do Pai;Sexo;Data de Nascimento;Ônibus
76;ANA;RAIMBN CAMINHL QUINTO;ZARIA LOHO SOUSA;F;1661950;851, 990, 310, 712
77;ANA BARBOSA DELFINO;RAIMUNDO ARIMATEIA DELFINO;RAIMUGDA FOGOOSA SAMPAIO;F;477686;514, 692, 457, 990
78;NAEL S N;JOSE PAIVA NASCIMENTO;JOANA SANTANA NASCIMENTO;M;2821894;298, 585
79;MARCOS SOUSA GONCALVES;ALBERTO;JENOIEFER SOUSA AMORIM;M;1551973;337, 183, 838
80;CARLOS LIMA SARAIVA;FRANCIPCO IOSMO SQRAIVV;UARSQ LIMAUIANA;M;1842407;174, 582
81;TEREZINHA DESOUSA SILVA;PEDRO MORAIS SILVA;MARIA DESOUSA DOMINGUES;F;1191996;748, 018, 287, 889, 717
82;DINO LIMA MACELINO;WELINGTON I M;MARIA LIMA ALVES;M;1561839;287, 117, 161, 255, 528, 776, 326, 919, 480
83;REGINA PEREIRA SANTOS;FRANCISCO SANTOS SANTOS;MARIA PEREIRA SILVA;F;1951333;351
84;JOAO LOPES PINTO;FRANCISCO MARQUES PINTO;ZULMIRA L S;M;1831964;626, 881, 105, 407, 021, 068
85;FRANCISCA FRANCA SOUZA;MARQUISONI FREITAS SOUZA;MARIA FRANCA LIMA;F;3104000;604, 492, 914, 654, 217, 262, 117, 678
86;JESUS BRASILEIRA MOREIRA;JOAO SANTOS MORZIRA;JANETE B F;M;1811943;598, 938
87;PEDRO SILVA RODRIGUES;BENEDITO S R;DILMA SILVA SILVA;M;1361772;495, 507, 517, 485, 542
88;ODILA L R;JOSE T R;MARIA LIMA TEIXEIRA;F;562508;669, 049, 815, 947, 393, 841
89;MARIA GOMES MENDONCA;JOMIMGOS LIRA MENDENCA;MARIA G R;F;253992;848, 873, 616, 581, 461, 847, 184
90;DATIANE OOPES CASTRO;JOSE FELIX CASTRO;DANIELE LOPES DETECINA;F;481996;425, 523, 033, 423, 119, 018, 546, 026
91;FRANCTSQAR PAHLINO;LUES PIMEAKEL PAUNINO;ANTONIA R D;F;1981996;647, 048
92;ROBSON MARIANO GOMES;RAFAEL D G;MARIA;F;2742083;493, 909, 693, 761
93;MARIA BARROS MOREIRA;RPNALDO RODRIGUES MOREIRA;GLECIA B A;F;681978;353, 609, 233, 133, 477, 733, 301, 037, 991, 820
94;MARIA;JOSE FELIX MELO;MARIA;F;7755918;045, 778, 277, 553, 055, 752, 708, 115
95;WALTER PERREIRA FERREIRA;ANTONIO O F;ANTONIA PERREIRA CHAVES;M;8032000;116, 920, 796, 838, 866, 843, 870
96;LAISSE;ANTONIO SOARES BATISTA;ISABEL CARMO MELO;F;612006;139, 363, 985, 224, 658
97;CINTIA SILVA BEZERRA;JOAO LIVRASENTJ BEZIRRA;JEREZINHA QILVA GOMES;F;832983;175
98;ISABELA SOUSA MOISES;FRANCISCO SILVA MOISES;MARIA SOUSA SILVA;F;22112600;192, 298
99;TALIANE SOUSA SILVA;FRANCISCO ALVES SILVA;YNTVNIA SOUSA TELES;F;151986;663
100;SOPHIA SILVA GOMES;VALDIR;MARIA;F;96112999;091
101;LUIS FERREIRA SOUZA;JOSE AQUINO SOUZA;MARIA FERREIRA CHAVES;M;2931973;343
102;FELLIPPE SANTOS SOARES;SEBLSTIAO ARAGAU SOARES;FRANCISCA SANTOS FATIMA;M;491938;807, 859, 747, 726, 802, 690, 716, 367, 341, 241
103;ALEXANDRE NASCIMENTO SILVA;ANTONIO RODRIGUES SILVA;MARIL NAACIMEGTOELIZANGELA;M;26101011;400, 910, 526
104;MICAEL JOSE MAGALHAES;ANTOHAO TVODORD MYGALHADS;MARIA J F;M;2511954;408
105;FRANCISCO MATIAS SILVA;ELISIAHIO;MARIA MATIAS MACIEL;M;4021988;970, 425
106;ISAAC;JOSE GABRIIA BRIOSO;MARUA SOUSA CARVALHO;M;1948958;317, 642, 628, 498, 309, 332, 320, 068, 818
107;GISELE SANTOS ALVES;IVONALDO FREITAS ALVES;CRISTIANE S S;F;1201987;235, 207
108;LIVIA;FRAZCNSCO SIMAO SRLVA;FRANCISCA MIRANDA SILVA;F;26122002;617, 030, 579, 900, 872
109;ANTONIA SANTOS ROCHA;MPNOEL ALMFARXCHA;MA SANTOS LIMA;F;2671947;503, 674, 718, 513, 009, 155, 695
110;MARIA ROSA FERREIRA;EDNALDO SILVA FERREIRA;MARIA ROSA ALICE;F;361952;358
111;DIDIMO NASCIMENTO LIMA;JOAO SOUSA LIMA;ANA N A;M;3382002;776, 519, 637, 694, 015, 072, 618, 599
112;JOSE CARNEIRO BARBOSA;ANTONIO G B;FRANCISCA CARNEIRO SILVA;M;1241974;688, 175, 628, 480, 444, 578, 433, 298
113;MARTA MOREIRA ARAUJO;DANIEL ALMEIDA ARAUJO;ELMA M M;F;2631975;462, 468, 715, 249, 802, 973, 718, 769, 795, 327
114;LUCIEDA N S;CESAR;MARIA;F;24141972;640, 625, 242, 057, 878, 118, 271, 640, 640, 498
115;MARIA OLIVEIRA EOUZA;CLAUDEILSON MOREIRA SOUZA;MARIA OLIVEIRA ALVES;F;8801022;735, 337, 581, 876, 959, 057, 650, 087
116;MATEUS LIMA SARMENTO;JOSE VALE SARMENTO;MARIA LIMA CARNEIRO;M;1821054;888, 611, 045, 612, 742, 617, 868, 801
117;ROSRSINA PERZSRA XAVIER;ANTONIO NASCIMENTO XAVIER;MARIA PEREIRA PEREIRA;F;261741;665, 554, 481, 827, 485, 887, 205, 240, 770
118;JOSEMOREIRA DKYBI;JOSE PEREIRA DEYBI;RDA MOREIRA ALVES;M;25101938;798
119;PRKSJIMA SFLVA VALDIR;MANUEL LEONARDO VALDIR;ANTONIA INLVA MENESES;F;2034959;813, 410, 209
120;DAVID ARAUJO FELIPE;JOSE NACELIO FELIPE;VERIDIANA ARAUJO NASCIMENTO;M;2781965;226, 769
121;RAFAEL NOGUEIRA FABIO;JORGE SILVA FABIO;LUCIA NOGUEIRA ARAUJO;M;422093;458
122;CAMILA ALVES MOREIRA;ESTANDISLAU;ROSANGELA ALVES SILVA;F;880962;379
123;THIAGO HELENICE SILVA;VALCELIO;MARSA HEQENJCR COLTA;M;2472035;753, 573, 416, 445, 450, 558, 674, 698, 489
124;VIVIAN SOUSA SILVA;FRANCISCO JORGE SILVA;LILIANE SOUSA SOCORRO;F;0101982;082, 068
125;FRANCISCA FONSECA WAGNER;MARCOS DUYRTE WAGNER;MARIA FONSECA CASTRO;F;23101992;826, 594, 718, 581, 779, 584, 709, 414, 320
126;MARIL SILEA MRIMATXIA;MARCOS OLIVEIRA ARIMATEIA;FRANCISCA S S;F;2231781;318, 493, 386, 629, 265, 100, 662, 825, 920
127;MARIA MONTEIRO MATOS;RAUDEMI EDILSON MATOS;FRANCISCO MONTEIRO RIBEIRO;F;2433966;534, 783, 240, 372, 435, 045, 031, 317, 306
128;SARAH AMANCIO VIANA;FFANIISCO SOUSA VIENA;JESSICA AMANCIO SILVA;F;1351996;294, 333, 967, 441
129;MARIA ANDRADE MOREIRA;PEDRO SANTOS MOREIRA;DAMIANA ANDRADE CKSTA;F;20112512;929, 150, 801, 024, 664, 149, 531
130;LUIZ;JOSE;JOANA NASCIMENTO RODRIGYES;M;1491939;205, 303, 896, 307, 791, 804, 963, 734
131;LAIS S O;JEWERSON P F;JOSEFA SANTOS SILVA;F;2886390;358
132;BRUNO;JOAO NASCIMENTO BARBOSA;MARIA RODRIGUES GOMES;M;2761982;811, 697, 928
133;ISAIELLA SAMBAIO FABIO;JONE SOORBSFAQIO;CLAUDIANA SAMPAIO SILVA;F;1461914;716
134;DALILIAN ELIAS FERREIRA;TIAGO;ANTONIA E F;F;1661383;510
135;LAIANE FLORENCIO JORGE;JOAQUIM GOMES JORGE;NOELIA;F;2171963;108, 207, 285, 962, 061, 785, 064, 911, 541
136;ALEXANDRA PEREIQA BIRES;MARCONDES SANTOS AIRES;RAIMUNDA PEREIRA MORAES;F;1029943;794, 918, 968, 503, 702
137;JOAO MOREIRA VASCONCELOS;LUIS R V;MARIA MOREIRA FERREIRA;M;971953;902, 195, 700
138;MARIA PINHEIRO OLVES;EXPEDITO OLIVEIRA ALVES;MARIA;F;2946947;430, 032, 648, 514, 837, 464, 210, 251, 070, 653
139;MARIA LIMA BEZERRA;RAIMUNDO ALBUQUERQUE BEZERRA;RAIMUNDA LIMGDIAS;F;2111980;230
140;VICTOR;FRANCISCO COSTA MARREIRA;CILANDIA SILVA SOUSA;M;29904960;084, 270, 558, 288
141;ANA;ANTONIO OLIVEIRA BATISTA;DORISMAR LIDIA FRANCINEIDE;F;1012005;271
142;BRUNO OLIVEIRA DANTAS;JOSE VIEIRA DANTAS;FRANCIMAR O S;M;382004;565, 558, 787, 679, 080
143;CLAUDIO ROSV SILVA;VICENTE ARAUJO SILVA;MARIA;M;211964;386, 613, 100, 621, 204, 454, 830, 013, 749
144;FRANQIFCO S X;VICENTE FARIAS FERREIRA;ANTONIA SILVA TORRES;M;6103412;552, 604, 864, 443, 595, 200, 968, 829, 614, 880
145;ANDRESSA MARIA BENTO;FRANCISCO ROMERO BENTO;ANTONIETA MARIA SOUSA;F;3071960;617, 401, 818
146;SUELLEN C L;VALMIR FERREIRA LOPES;MARIA CARNAUBA SOUSA;F;414984;239, 384, 799, 283, 318, 681, 019, 577, 191
147;MARIA;IVAN SILVA OLIVEIRA;MARIA;F;2871870;012, 074, 766, 945, 161, 896, 368, 808, 839, 084
148;PAULA S G;PAULO XIMENES GOMES;MARIA;F;961902;531, 836, 947, 641, 358, 814, 205, 060, 532, 932
149;OTACIANA ARAUJO CARVALHO;CARLOS SOUSA CARVALHO;MARIA ARAUJO NUNES;F;712006;813, 535, 542, 539, 290, 531, 619, 880
150;FRANCISCO JOSE COSTA;JOAO BEZERRA COSRA;MARIA JOSE GOMES;M;4551992;832, 967, 098, 999, 618, 053, 389
151;EVERTON S R;RONALDO RIBEIRO SILVA;MARIA SILVA AUGUSTO;M;951699;280, 532, 247, 718, 424, 906, 958
152;MARIA SOUSZ XSSIS;OSCAR GARCIA ASSIS;DANICLE SOUSASILVX;F;821983;843
153;JOSE SILVA SANTOS;CRISTIAN ANDRADE SANTOS;MARIA SILVA GRACAS;M;1818948;471, 804, 508, 360, 749, 109, 557, 452
154;DAECKSON MATOS HOLANDA;JORGE ALENCAR HOLANDA;LINDUINA MATOS SILVA;M;4141997;441, 775, 896, 244, 044, 902, 753
155;IAN GARDENIA SANTOS;MARCOS BARROSO SANTOS;MARIA GARDENIA ARLENE;M;87101995;878, 009, 185, 059, 543, 167, 978
156;GARIA OIIVEIRALOPES;EUSEBIO SILVA LOPES;MARIA OLIVEIRA SILVA;F;175000;100
157;MARIA S R;FRANCISCO RODRIGUES RODRIGUES;IDELZUITE S M;F;29101943;402, 297
158;RAYANA;FRANCISCO MARQUES ROBERTO;LUZIA V N;F;2143968;595, 062, 646, 933, 290, 639, 779, 548, 635
159;FRANCISCA F G;ERASMINO LIMA GOMES;ELISIANA FERREIRA ELIZETE;F;98141986;224, 557, 020, 059
160;ANA MARQUES GOMES;FRANCISCO SOUZA GOMES;MARIA M R;F;1104173;675, 041, 278, 184, 128, 798
161;MARIA SOUSA COSTA;JOAO OLIVEIRA COSTA;MARIA SOUSA ARAUJO;F;861247;333
162;MARIA ARAUJO REIS;JOSE BATISTA REIS;MARDA ARAUJGMOURA;F;2421910;717, 757, 675, 334, 555, 003, 879, 084, 757
163;RSUL SM;ZUGUIDOCOSEA MARCVAVO;MARIA SOCORRO LOURENCO;M;24108001;243, 396, 280, 668, 410, 736, 162, 875
164;BRUNO AUGUSLA SIUSA;LUIZ C S;ELIENE;M;1331967;866, 954, 913, 221
165;BEATRIZ SILVA RODRIGUES;ALLESSON R S;FRANCISCA SILVA LUCIA;F;12113967;389, 745, 385
166;MARIA SILVA ALMEIDA;SAMUTL ARAUJO ALJEIDA;DORILEDE;F;2321961;438, 178, 511, 523, 327, 302, 658, 266, 763, 650
167;SOLIDADO SILVA RICARDO;RAIMUNDO OLIOVEIRA RICARDO;REGINA SILVA SOUZA;F;9451970;586, 956
168;ELIZANGELA SOUSE SANTOS;JOSE;ROSILDA SOUSX SIRHA;F;131938;650, 535, 124, 682, 106, 122, 961, 007, 288
169;ELIENE S A;RUBENS ROCHA ANDRADE;MARSA S F;F;621960;586
170;ROSIELE;JOSE PEREIRA GOMES;MARIA SILVA ALVES;F;1622006;836, 302, 782, 140
171;EMIBI GALDINOPEREERA;MANOEL NASCIMENTO PEREIRA;FCA;F;7582012;361, 631, 861, 975
172;ANA FERREIRA SOUSA;RAIMUNDO SILVA SOUSA;RAIMUNDA F S;F;1951885;617
173;KAROXINA FARIAS PEREIRA;ANTONIO;MIRTA FARIAS SANTOS;F;975935;873, 182, 042, 931, 363, 915, 655, 427
174;MARIA PNULA SILVA;FRAVCTICO ALEXENDRE SIRVR;FRANCISCA PAULA BRITO;F;1101956;099, 017
175;LARISGA S S;FRANCISCO ANTONIO SOUZA;RAIMUNDA SILVA BEZERRA;F;2642712;681, 602
176;CARLOS SILVAGUIA;JOSE GUIA SILVA;ZAIRA SILGA GCNWALWES;M;17151957;001, 268, 356, 543, 951, 934, 783, 907, 202
177;ANTONIA MARIA NACIMENTO;RAIMUNDO ANDRADE NACIMENTO;CEREZIRHA RAERA SILVA;F;17111988;685, 598, 504, 160, 493, 452, 322, 801
178;MARIA RITO SANTOS;ANTONIO SOUSA SANTOS;MARIA R S;F;671944;822, 687, 672, 907, 487, 297, 181
179;PEDLR IVANWA MBTIAS;FRANCISCO ROCHA MATIAS;CLAUDIA IVANIA CONCEICAO;M;2832011;226, 363, 539, 794, 156, 334, 460, 790, 222
180;LOURIVAL HELENA SOUZA;ANTONIO BATISTA SOUZA;MARIA H B;M;750969;176, 425, 032, 115, 687, 257, 865, 345
181;REBECA SOUSA ANDRADE;JOAO BRITO ANDRADE;EDILEUSA SOUSA JOSE;F;496449;563, 180, 546, 338, 286, 845, 304
182;FRANCISCO VANIA BARRETI;JOSE S B;MARIA;M;4581301;856, 927, 015, 990, 014, 524, 228, 932, 146
183;JAMILI MELO EUDES;FRANCISCO SILVA EUDES;FRANCISCA MELO SILVA;F;1061971;578, 620
184;MARIA SILVA GOMES;PAULO GOMES SILVA;ELIZABETE SILVA RODRIGUES;F;1383936;362, 093, 476, 347, 870
185;ROOERTO F G;JOSE SILVA GOMES;MARILENE;M;2676006;003, 380, 993, 173, 820, 542, 227, 819
186;FRANCISCO FERNANDES ANTONIO;MOACGR TIMA YNTONIO;RITA FERNANDES SANTOS;F;1564983;804, 541, 522
187;TAMIRES H A;LAECIO C A;MARIA H M;F;181984;457, 141, 571
188;LARISSA COSTA IRINEU;MANOEL VALDIRLAN IRINEU;FRANCISCA C S;F;2152709;701, 805
189;MARIA;RAIMUNDO V S;LUCIANA SANTOS NOGUEIRA;F;4985949;409, 061, 957, 589, 235
190;ANA RODRIGUES CAMILO;RAIMUNDO J C;LUCILEIDE RODRIGUES RODRIGUES;F;1031341;223, 779, 449, 672
191;MARIA;CLOVIS GOMES CASSIMIRO;MARIA;F;1342010;878, 260, 689, 603, 329, 836, 287, 070, 410
192;QLONB FIALHO RDDRIGUEE;LUIZ SILVA RODRIGUES;FRANCISCA FIALHO CARMO;F;1882008;604, 098, 706, 571, 223, 489
193;KAYLANE M FREITAS;RAIMUNDO PEREIRA FREITAS;ODILIA M MORAES;F;3672014;071, 146, 752, 510, 647, 308, 635
194;FRANCISCO S S;FRZNCISCO F S;IRANCLSCA SILNC PRAZERES;M;8107001;093, 457, 778, 244, 739, 763, 777, 552
195;TPTIANE;JOSE CARVALHO MARQUES;REGINA OLIVEIRA GENNUARIA;F;841755;206, 979, 330, 210, 301, 602, 757, 271, 449, 900
196;CRISTIANO;PAULO SOUZA SOUZA;VERA N L;M;2472012;994, 368, 488, 191, 818, 963
197;PAULO PAIVA OLIVEIRA;JORGE;ANTONIA PAIVA SILVA;M;1171974;238, 898
198;VITORIA C B;JOAO FERREIRA BORGES;MARIA;F;6001978;394, 595, 173, 012, 239, 177
199;FRANCISCO;JOSE GOMES FELIX;ALDEVAM E S;M;24101999;894, 127, 373, 193, 607, 532
200;JESSICA AMORIM CORREIA;FELIPE;ROCELI AMORIM RODRIGUES;F;4091979;110, 097, 021, 887, 201, 627, 950, 324, 882
201;ISABELLE OLIVEIRA MESQUITA;CARLOS BATALHA MESQUITA;RAOMUNDA BLIVEIRA VIEIMA;F;1371787;918, 926, 864, 012, 783, 763, 842, 471, 530
202;SANMARR YS;JOSE SILVA SOUZA;IDELZUITE SOARES SILVA;F;2091945;464, 170, 758, 002, 294, 361, 980, 026, 237
203;MIRIAN A L;ROSENDO SOARES LIMA;MARIA IPELSANTOS;F;1123939;805, 821, 120
204;FABIA CLAUDIO DEUS;RAIMUNDO N D;MAREA;F;2712012;775, 579, 368, 830, 214, 416
205;DAVI M S;JOAO SILVA SANTANA;MARIA M S;M;3231996;741, 969, 439, 939, 370, 212, 878, 683
206;MAYRA BATISTA NECO;JOSE;ANTONIA BATISTA RODRIGUES;F;661992;850, 630
207;ELISANDRA OLIVEIRA JOSE;LUIZ GUIA JOSE;SANDRA OLIVEIRA SANTOS;F;1322029;707, 202, 312, 476, 625, 609, 399, 569, 940, 947
208;ANGELICA BRUNO CARLOS;RAIMUNDO FILHO CARLOS;FRANCISCA BRUNO REIS;F;4481981;337, 321, 570, 018, 744, 050, 410, 932, 845
209;MARILENE VIANA EDSON;ANTONIO EUDES EDSON;CRISLANE VIANA VANUSIA;F;198939;386
210;MILTON;RAIMUNJO PADUA SILVA;MARIA MACIEL MATOS;M;7002005;109, 747
